"","name","introduced","deprecated","removed","value","type"
"563","CURLOPT_OPENSOCKETFUNCTION","7.17.1",NA,NA,20163,"function"
"564","CURLOPT_PASSWDDATA","7.4.2","7.11.1","7.15.5",NA,"unknown"
"565","CURLOPT_PASSWDFUNCTION","7.4.2","7.11.1","7.15.5",NA,"unknown"
"566","CURLOPT_PASSWORD","7.19.1",NA,NA,10174,"string"
"567","CURLOPT_PASV_HOST","7.12.1","7.16.0","7.15.5",NA,"unknown"
"568","CURLOPT_PATH_AS_IS","7.42.0",NA,NA,234,"integer"
"569","CURLOPT_PINNEDPUBLICKEY","7.39.0",NA,NA,10230,"string"
"570","CURLOPT_PIPEWAIT","7.43.0",NA,NA,237,"integer"
"571","CURLOPT_PORT","7.1",NA,NA,3,"integer"
"572","CURLOPT_POST","7.1",NA,NA,47,"integer"
"573","CURLOPT_POST301","7.17.1","7.19.1",NA,161,"integer"
"574","CURLOPT_POSTFIELDS","7.1",NA,NA,10015,"string"
"575","CURLOPT_POSTFIELDSIZE","7.2",NA,NA,60,"integer"
"576","CURLOPT_POSTFIELDSIZE_LARGE","7.11.1",NA,NA,30120,"number"
"577","CURLOPT_POSTQUOTE","7.1",NA,NA,10039,"string"
"578","CURLOPT_POSTREDIR","7.19.1",NA,NA,161,"integer"
"579","CURLOPT_PREQUOTE","7.9.5",NA,NA,10093,"string"
"580","CURLOPT_PRIVATE","7.10.3",NA,NA,10103,"string"
"581","CURLOPT_PROGRESSDATA","7.1",NA,NA,10057,"string"
"582","CURLOPT_PROGRESSFUNCTION","7.1","7.32.0",NA,20056,"function"
"583","CURLOPT_PROTOCOLS","7.19.4",NA,NA,181,"integer"
"584","CURLOPT_PROXY","7.1",NA,NA,10004,"string"
"585","CURLOPT_PROXY_SERVICE_NAME","7.43.0",NA,NA,10235,"string"
"586","CURLOPT_PROXY_TRANSFER_MODE","7.18.0",NA,NA,166,"integer"
"587","CURLOPT_PROXYAUTH","7.10.7",NA,NA,111,"integer"
"588","CURLOPT_PROXYHEADER","7.37.0",NA,NA,10228,"string"
"589","CURLOPT_PROXYPASSWORD","7.19.1",NA,NA,10176,"string"
"590","CURLOPT_PROXYPORT","7.1",NA,NA,59,"integer"
"591","CURLOPT_PROXYTYPE","7.10",NA,NA,101,"integer"
"592","CURLOPT_PROXYUSERNAME","7.19.1",NA,NA,10175,"string"
"593","CURLOPT_PROXYUSERPWD","7.1",NA,NA,10006,"string"
"594","CURLOPT_PUT","7.1",NA,NA,54,"integer"
"595","CURLOPT_QUOTE","7.1",NA,NA,10028,"string"
"596","CURLOPT_RANDOM_FILE","7.7",NA,NA,10076,"string"
"597","CURLOPT_RANGE","7.1",NA,NA,10007,"string"
"598","CURLOPT_READDATA","7.9.7",NA,NA,10009,"string"
"599","CURLOPT_READFUNCTION","7.1",NA,NA,20012,"function"
"600","CURLOPT_REDIR_PROTOCOLS","7.19.4",NA,NA,182,"integer"
"601","CURLOPT_REFERER","7.1",NA,NA,10016,"string"
"602","CURLOPT_RESOLVE","7.21.3",NA,NA,10203,"string"
"603","CURLOPT_RESUME_FROM","7.1",NA,NA,21,"integer"
"604","CURLOPT_RESUME_FROM_LARGE","7.11.0",NA,NA,30116,"number"
"605","CURLOPT_RTSP_CLIENT_CSEQ","7.20.0",NA,NA,193,"integer"
"606","CURLOPT_RTSP_REQUEST","7.20.0",NA,NA,189,"integer"
"607","CURLOPT_RTSP_SERVER_CSEQ","7.20.0",NA,NA,194,"integer"
"608","CURLOPT_RTSP_SESSION_ID","7.20.0",NA,NA,10190,"string"
"609","CURLOPT_RTSP_STREAM_URI","7.20.0",NA,NA,10191,"string"
"610","CURLOPT_RTSP_TRANSPORT","7.20.0",NA,NA,10192,"string"
"611","CURLOPT_RTSPHEADER","7.20.0",NA,NA,10023,"string"
"612","CURLOPT_SASL_IR","7.31.0",NA,NA,218,"integer"
"613","CURLOPT_SEEKDATA","7.18.0",NA,NA,10168,"string"
"614","CURLOPT_SEEKFUNCTION","7.18.0",NA,NA,20167,"function"
"615","CURLOPT_SERVER_RESPONSE_TIMEOUT","7.20.0",NA,NA,112,"integer"
"616","CURLOPT_SERVICE_NAME","7.43.0",NA,NA,10236,"string"
"617","CURLOPT_SHARE","7.10",NA,NA,10100,"string"
"618","CURLOPT_SOCKOPTDATA","7.16.0",NA,NA,10149,"string"
"619","CURLOPT_SOCKOPTFUNCTION","7.16.0",NA,NA,20148,"function"
"620","CURLOPT_SOCKS5_GSSAPI_NEC","7.19.4",NA,NA,180,"integer"
"621","CURLOPT_SOCKS5_GSSAPI_SERVICE","7.19.4","7.49.0",NA,10179,"string"
"622","CURLOPT_SOURCE_HOST","7.12.1","-","7.15.5",NA,"unknown"
"623","CURLOPT_SOURCE_PATH","7.12.1","-","7.15.5",NA,"unknown"
"624","CURLOPT_SOURCE_PORT","7.12.1","-","7.15.5",NA,"unknown"
"625","CURLOPT_SOURCE_POSTQUOTE","7.12.1","-","7.15.5",NA,"unknown"
"626","CURLOPT_SOURCE_PREQUOTE","7.12.1","-","7.15.5",NA,"unknown"
"627","CURLOPT_SOURCE_QUOTE","7.13.0","-","7.15.5",NA,"unknown"
"628","CURLOPT_SOURCE_URL","7.13.0","-","7.15.5",NA,"unknown"
