"","name","introduced","deprecated","removed","value","type"
"47","CURL_IPRESOLVE_WHATEVER","7.10.8",NA,NA,0,NA
"48","CURL_LOCK_ACCESS_NONE","7.10.3",NA,NA,0,NA
"49","CURL_LOCK_ACCESS_SHARED","7.10.3",NA,NA,1,NA
"50","CURL_LOCK_ACCESS_SINGLE","7.10.3",NA,NA,2,NA
"51","CURL_LOCK_DATA_CONNECT","7.10.3",NA,NA,5,NA
"52","CURL_LOCK_DATA_COOKIE","7.10.3",NA,NA,2,NA
"53","CURL_LOCK_DATA_DNS","7.10.3",NA,NA,3,NA
"54","CURL_LOCK_DATA_NONE","7.10.3",NA,NA,0,NA
"55","CURL_LOCK_DATA_SHARE","7.10.4",NA,NA,1,NA
"56","CURL_LOCK_DATA_SSL_SESSION","7.10.3",NA,NA,4,NA
"57","CURL_LOCK_TYPE_CONNECT","7.10","-","7.10.2",NA,NA
"58","CURL_LOCK_TYPE_COOKIE","7.10","-","7.10.2",NA,NA
"59","CURL_LOCK_TYPE_DNS","7.10","-","7.10.2",NA,NA
"60","CURL_LOCK_TYPE_NONE","7.10","-","7.10.2",NA,NA
"61","CURL_LOCK_TYPE_SSL_SESSION","7.10","-","7.10.2",NA,NA
"62","CURL_MAX_HTTP_HEADER","7.19.7",NA,NA,102400,NA
"63","CURL_MAX_WRITE_SIZE","7.9.7",NA,NA,16384,NA
"64","CURL_NETRC_IGNORED","7.9.8",NA,NA,0,NA
"65","CURL_NETRC_OPTIONAL","7.9.8",NA,NA,1,NA
"66","CURL_NETRC_REQUIRED","7.9.8",NA,NA,2,NA
"67","CURL_POLL_IN","7.14.0",NA,NA,1,NA
"68","CURL_POLL_INOUT","7.14.0",NA,NA,3,NA
"69","CURL_POLL_NONE","7.14.0",NA,NA,0,NA
"70","CURL_POLL_OUT","7.14.0",NA,NA,2,NA
"71","CURL_POLL_REMOVE","7.14.0",NA,NA,4,NA
"72","CURL_PROGRESS_BAR","7.1.1","-","7.4.1",NA,NA
"73","CURL_PROGRESS_STATS","7.1.1","-","7.4.1",NA,NA
"74","CURL_PUSH_DENY","7.44.0",NA,NA,1,NA
"75","CURL_PUSH_OK","7.44.0",NA,NA,0,NA
"76","CURL_READFUNC_ABORT","7.12.1",NA,NA,268435456,NA
"77","CURL_READFUNC_PAUSE","7.18.0",NA,NA,268435457,NA
"78","CURL_REDIR_GET_ALL","7.19.1",NA,NA,0,NA
"79","CURL_REDIR_POST_301","7.19.1",NA,NA,1,NA
"80","CURL_REDIR_POST_302","7.19.1",NA,NA,2,NA
"81","CURL_REDIR_POST_303","7.25.1",NA,NA,4,NA
"82","CURL_REDIR_POST_ALL","7.19.1",NA,NA,7,NA
"83","CURL_RTSPREQ_ANNOUNCE","7.20.0",NA,NA,3,NA
"84","CURL_RTSPREQ_DESCRIBE","7.20.0",NA,NA,2,NA
"85","CURL_RTSPREQ_GET_PARAMETER","7.20.0",NA,NA,8,NA
"86","CURL_RTSPREQ_NONE","7.20.0",NA,NA,0,NA
"87","CURL_RTSPREQ_OPTIONS","7.20.0",NA,NA,1,NA
"88","CURL_RTSPREQ_PAUSE","7.20.0",NA,NA,6,NA
"89","CURL_RTSPREQ_PLAY","7.20.0",NA,NA,5,NA
"90","CURL_RTSPREQ_RECEIVE","7.20.0",NA,NA,11,NA
"91","CURL_RTSPREQ_RECORD","7.20.0",NA,NA,10,NA
"92","CURL_RTSPREQ_SET_PARAMETER","7.20.0",NA,NA,9,NA
"93","CURL_RTSPREQ_SETUP","7.20.0",NA,NA,4,NA
"94","CURL_RTSPREQ_TEARDOWN","7.20.0",NA,NA,7,NA
"95","CURL_SEEKFUNC_CANTSEEK","7.19.5",NA,NA,2,NA
"96","CURL_SEEKFUNC_FAIL","7.19.5",NA,NA,1,NA
"97","CURL_SEEKFUNC_OK","7.19.5",NA,NA,0,NA
"98","CURL_SOCKET_BAD","7.14.0",NA,NA,-1,NA
"99","CURL_SOCKET_TIMEOUT","7.14.0",NA,NA,-1,NA
"100","CURL_SOCKOPT_ALREADY_CONNECTED","7.21.5",NA,NA,2,NA
"101","CURL_SOCKOPT_ERROR","7.21.5",NA,NA,1,NA
"102","CURL_SOCKOPT_OK","7.21.5",NA,NA,0,NA
"103","CURL_SSLVERSION_DEFAULT","7.9.2",NA,NA,0,NA
"104","CURL_SSLVERSION_SSLv2","7.9.2",NA,NA,2,NA
"105","CURL_SSLVERSION_SSLv3","7.9.2",NA,NA,3,NA
"106","CURL_SSLVERSION_TLSv1","7.9.2",NA,NA,1,NA
"107","CURL_SSLVERSION_TLSv1_0","7.34.0",NA,NA,4,NA
"108","CURL_SSLVERSION_TLSv1_1","7.34.0",NA,NA,5,NA
"109","CURL_SSLVERSION_TLSv1_2","7.34.0",NA,NA,6,NA
"110","CURL_STRICTER","7.50.2",NA,NA,NA,NA
"111","CURL_TIMECOND_IFMODSINCE","7.9.7",NA,NA,1,NA
"112","CURL_TIMECOND_IFUNMODSINCE","7.9.7",NA,NA,2,NA
"113","CURL_TIMECOND_LASTMOD","7.9.7",NA,NA,3,NA
"114","CURL_TIMECOND_NONE","7.9.7",NA,NA,0,NA
"115","CURL_TLSAUTH_NONE","7.21.4",NA,NA,0,NA
"116","CURL_TLSAUTH_SRP","7.21.4",NA,NA,1,NA
"117","CURL_VERSION_ASYNCHDNS","7.10.7",NA,NA,128,NA
"118","CURL_VERSION_CONV","7.15.4",NA,NA,4096,NA
"119","CURL_VERSION_CURLDEBUG","7.19.6",NA,NA,8192,NA
"120","CURL_VERSION_DEBUG","7.10.6",NA,NA,64,NA
"121","CURL_VERSION_GSSAPI","7.38.0",NA,NA,131072,NA
"122","CURL_VERSION_GSSNEGOTIATE","7.10.6","7.38.0",NA,32,NA
"123","CURL_VERSION_HTTP2","7.33.0",NA,NA,65536,NA
"124","CURL_VERSION_IDN","7.12.0",NA,NA,1024,NA
"125","CURL_VERSION_IPV6","7.10",NA,NA,1,NA
"126","CURL_VERSION_KERBEROS4","7.10","7.33.0",NA,2,NA
"127","CURL_VERSION_KERBEROS5","7.40.0",NA,NA,262144,NA
"128","CURL_VERSION_LARGEFILE","7.11.1",NA,NA,512,NA
"129","CURL_VERSION_LIBZ","7.10",NA,NA,8,NA
"130","CURL_VERSION_NTLM","7.10.6",NA,NA,16,NA
"131","CURL_VERSION_NTLM_WB","7.22.0",NA,NA,32768,NA
"132","CURL_VERSION_PSL","7.47.0",NA,NA,1048576,NA
"133","CURL_VERSION_SPNEGO","7.10.8",NA,NA,256,NA
"134","CURL_VERSION_SSL","7.10",NA,NA,4,NA
"135","CURL_VERSION_SSPI","7.13.2",NA,NA,2048,NA
"136","CURL_VERSION_TLSAUTH_SRP","7.21.4",NA,NA,16384,NA
"137","CURL_VERSION_UNIX_SOCKETS","7.40.0",NA,NA,524288,NA
"138","CURL_WAIT_POLLIN","7.28.0",NA,NA,1,NA
"139","CURL_WAIT_POLLOUT","7.28.0",NA,NA,4,NA
"140","CURL_WAIT_POLLPRI","7.28.0",NA,NA,2,NA
"141","CURL_WRITEFUNC_PAUSE","7.18.0",NA,NA,268435457,NA
"142","CURLAUTH_ANY","7.10.6",NA,NA,-17,NA
"143","CURLAUTH_ANYSAFE","7.10.6",NA,NA,-18,NA
"144","CURLAUTH_BASIC","7.10.6",NA,NA,1,NA
"145","CURLAUTH_DIGEST","7.10.6",NA,NA,2,NA
"146","CURLAUTH_DIGEST_IE","7.19.3",NA,NA,16,NA
"147","CURLAUTH_GSSNEGOTIATE","7.10.6","7.38.0",NA,4,NA
"148","CURLAUTH_NEGOTIATE","7.38.0",NA,NA,4,NA
"149","CURLAUTH_NONE","7.10.6",NA,NA,0,NA
"150","CURLAUTH_NTLM","7.10.6",NA,NA,8,NA
"151","CURLAUTH_NTLM_WB","7.22.0",NA,NA,32,NA
"152","CURLAUTH_ONLY","7.21.3",NA,NA,NA,NA
"153","CURLCLOSEPOLICY_CALLBACK","7.7",NA,NA,5,NA
"154","CURLCLOSEPOLICY_LEAST_RECENTLY_USED","7.7",NA,NA,2,NA
"155","CURLCLOSEPOLICY_LEAST_TRAFFIC","7.7",NA,NA,3,NA
"156","CURLCLOSEPOLICY_NONE","7.7",NA,NA,0,NA
"157","CURLCLOSEPOLICY_OLDEST","7.7",NA,NA,1,NA
"158","CURLCLOSEPOLICY_SLOWEST","7.7",NA,NA,4,NA
"159","CURLE_ABORTED_BY_CALLBACK","7.1",NA,NA,42,NA
"160","CURLE_AGAIN","7.18.2",NA,NA,81,NA
"161","CURLE_ALREADY_COMPLETE","7.7.2",NA,NA,99999,NA
"162","CURLE_BAD_CALLING_ORDER","7.1","7.17.0",NA,44,NA
"163","CURLE_BAD_CONTENT_ENCODING","7.10",NA,NA,61,NA
"164","CURLE_BAD_DOWNLOAD_RESUME","7.10",NA,NA,36,NA
"165","CURLE_BAD_FUNCTION_ARGUMENT","7.1",NA,NA,43,NA
"166","CURLE_BAD_PASSWORD_ENTERED","7.4.2","7.17.0",NA,46,NA
"167","CURLE_CHUNK_FAILED","7.21.0",NA,NA,88,NA
"168","CURLE_CONV_FAILED","7.15.4",NA,NA,75,NA
"169","CURLE_CONV_REQD","7.15.4",NA,NA,76,NA
"170","CURLE_COULDNT_CONNECT","7.1",NA,NA,7,NA
"171","CURLE_COULDNT_RESOLVE_HOST","7.1",NA,NA,6,NA
"172","CURLE_COULDNT_RESOLVE_PROXY","7.1",NA,NA,5,NA
"173","CURLE_FAILED_INIT","7.1",NA,NA,2,NA
"174","CURLE_FILE_COULDNT_READ_FILE","7.1",NA,NA,37,NA
"175","CURLE_FILESIZE_EXCEEDED","7.10.8",NA,NA,63,NA
"176","CURLE_FTP_ACCEPT_FAILED","7.24.0",NA,NA,10,NA
"177","CURLE_FTP_ACCEPT_TIMEOUT","7.24.0",NA,NA,12,NA
"178","CURLE_FTP_ACCESS_DENIED","7.1",NA,NA,9,NA
"179","CURLE_FTP_BAD_DOWNLOAD_RESUME","7.1","7.1",NA,36,NA
"180","CURLE_FTP_BAD_FILE_LIST","7.21.0",NA,NA,87,NA
"181","CURLE_FTP_CANT_GET_HOST","7.1",NA,NA,15,NA
"182","CURLE_FTP_CANT_RECONNECT","7.1","7.17.0",NA,16,NA
"183","CURLE_FTP_COULDNT_GET_SIZE","7.1","7.17.0",NA,32,NA
"184","CURLE_FTP_COULDNT_RETR_FILE","7.1",NA,NA,19,NA
"185","CURLE_FTP_COULDNT_SET_ASCII","7.1","7.17.0",NA,29,NA
"186","CURLE_FTP_COULDNT_SET_BINARY","7.1","7.17.0",NA,17,NA
"187","CURLE_FTP_COULDNT_SET_TYPE","7.17.0",NA,NA,17,NA
"188","CURLE_FTP_COULDNT_STOR_FILE","7.1",NA,NA,25,NA
"189","CURLE_FTP_COULDNT_USE_REST","7.1",NA,NA,31,NA
"190","CURLE_FTP_PARTIAL_FILE","7.1","7.1",NA,18,NA
"191","CURLE_FTP_PORT_FAILED","7.1",NA,NA,30,NA
"192","CURLE_FTP_PRET_FAILED","7.20.0",NA,NA,84,NA
"193","CURLE_FTP_QUOTE_ERROR","7.1","7.17.0",NA,21,NA
"194","CURLE_FTP_SSL_FAILED","7.11.0","7.17.0",NA,64,NA
"195","CURLE_FTP_USER_PASSWORD_INCORRECT","7.1","7.17.0",NA,10,NA
"196","CURLE_FTP_WEIRD_227_FORMAT","7.1",NA,NA,14,NA
"197","CURLE_FTP_WEIRD_PASS_REPLY","7.1",NA,NA,11,NA
"198","CURLE_FTP_WEIRD_PASV_REPLY","7.1",NA,NA,13,NA
"199","CURLE_FTP_WEIRD_SERVER_REPLY","7.1",NA,NA,8,NA
"200","CURLE_FTP_WEIRD_USER_REPLY","7.1","7.17.0",NA,12,NA
"201","CURLE_FTP_WRITE_ERROR","7.1","7.17.0",NA,20,NA
"202","CURLE_FUNCTION_NOT_FOUND","7.1",NA,NA,41,NA
"203","CURLE_GOT_NOTHING","7.9.1",NA,NA,52,NA
"204","CURLE_HTTP_NOT_FOUND","7.1",NA,NA,22,NA
"205","CURLE_HTTP_PORT_FAILED","7.3","7.12.0",NA,45,NA
"206","CURLE_HTTP_POST_ERROR","7.1",NA,NA,34,NA
"207","CURLE_HTTP_RANGE_ERROR","7.1","7.17.0",NA,33,NA
"208","CURLE_HTTP_RETURNED_ERROR","7.10.3",NA,NA,22,NA
"209","CURLE_HTTP2","7.38.0",NA,NA,16,NA
"210","CURLE_HTTP2_STREAM","7.49.0",NA,NA,92,NA
"211","CURLE_INTERFACE_FAILED","7.12.0",NA,NA,45,NA
"212","CURLE_LDAP_CANNOT_BIND","7.1",NA,NA,38,NA
"213","CURLE_LDAP_INVALID_URL","7.10.8",NA,NA,62,NA
"214","CURLE_LDAP_SEARCH_FAILED","7.1",NA,NA,39,NA
"215","CURLE_LIBRARY_NOT_FOUND","7.1","7.17.0",NA,40,NA
"216","CURLE_LOGIN_DENIED","7.13.1",NA,NA,67,NA
"217","CURLE_MALFORMAT_USER","7.1","7.17.0",NA,24,NA
"218","CURLE_NO_CONNECTION_AVAILABLE","7.30.0",NA,NA,89,NA
"219","CURLE_NOT_BUILT_IN","7.21.5",NA,NA,4,NA
"220","CURLE_OK","7.1",NA,NA,0,NA
"221","CURLE_OPERATION_TIMEDOUT","7.10.2",NA,NA,28,NA
"222","CURLE_OPERATION_TIMEOUTED","7.1","7.17.0",NA,28,NA
"223","CURLE_OUT_OF_MEMORY","7.1",NA,NA,27,NA
"224","CURLE_PARTIAL_FILE","7.1",NA,NA,18,NA
"225","CURLE_PEER_FAILED_VERIFICATION","7.17.1",NA,NA,51,NA
"226","CURLE_QUOTE_ERROR","7.17.0",NA,NA,21,NA
"227","CURLE_RANGE_ERROR","7.17.0",NA,NA,33,NA
"228","CURLE_READ_ERROR","7.1",NA,NA,26,NA
"229","CURLE_RECV_ERROR","7.10",NA,NA,56,NA
"230","CURLE_REMOTE_ACCESS_DENIED","7.17.0",NA,NA,9,NA
"231","CURLE_REMOTE_DISK_FULL","7.17.0",NA,NA,70,NA
"232","CURLE_REMOTE_FILE_EXISTS","7.17.0",NA,NA,73,NA
"233","CURLE_REMOTE_FILE_NOT_FOUND","7.16.1",NA,NA,78,NA
"234","CURLE_RTSP_CSEQ_ERROR","7.20.0",NA,NA,85,NA
"235","CURLE_RTSP_SESSION_ERROR","7.20.0",NA,NA,86,NA
"236","CURLE_SEND_ERROR","7.10",NA,NA,55,NA
"237","CURLE_SEND_FAIL_REWIND","7.12.3",NA,NA,65,NA
"238","CURLE_SHARE_IN_USE","7.9.6","7.17.0",NA,57,NA
"239","CURLE_SSH","7.16.1",NA,NA,79,NA
"240","CURLE_SSL_CACERT","7.10",NA,NA,60,NA
"241","CURLE_SSL_CACERT_BADFILE","7.16.0",NA,NA,77,NA
"242","CURLE_SSL_CERTPROBLEM","7.10",NA,NA,58,NA
"243","CURLE_SSL_CIPHER","7.10",NA,NA,59,NA
"244","CURLE_SSL_CONNECT_ERROR","7.1",NA,NA,35,NA
"245","CURLE_SSL_CRL_BADFILE","7.19.0",NA,NA,82,NA
"246","CURLE_SSL_ENGINE_INITFAILED","7.12.3",NA,NA,66,NA
"247","CURLE_SSL_ENGINE_NOTFOUND","7.9.3",NA,NA,53,NA
"248","CURLE_SSL_ENGINE_SETFAILED","7.9.3",NA,NA,54,NA
"249","CURLE_SSL_INVALIDCERTSTATUS","7.41.0",NA,NA,91,NA
"250","CURLE_SSL_ISSUER_ERROR","7.19.0",NA,NA,83,NA
"251","CURLE_SSL_PEER_CERTIFICATE","7.8","7.17.1",NA,51,NA
"252","CURLE_SSL_PINNEDPUBKEYNOTMATCH","7.39.0",NA,NA,90,NA
"253","CURLE_SSL_SHUTDOWN_FAILED","7.16.1",NA,NA,80,NA
"254","CURLE_TELNET_OPTION_SYNTAX","7.7",NA,NA,49,NA
"255","CURLE_TFTP_DISKFULL","7.15.0","7.17.0",NA,70,NA
"256","CURLE_TFTP_EXISTS","7.15.0","7.17.0",NA,73,NA
"257","CURLE_TFTP_ILLEGAL","7.15.0",NA,NA,71,NA
"258","CURLE_TFTP_NOSUCHUSER","7.15.0",NA,NA,74,NA
"259","CURLE_TFTP_NOTFOUND","7.15.0",NA,NA,68,NA
"260","CURLE_TFTP_PERM","7.15.0",NA,NA,69,NA
"261","CURLE_TFTP_UNKNOWNID","7.15.0",NA,NA,72,NA
"262","CURLE_TOO_MANY_REDIRECTS","7.5",NA,NA,47,NA
"263","CURLE_UNKNOWN_OPTION","7.21.5",NA,NA,48,NA
"264","CURLE_UNKNOWN_TELNET_OPTION","7.7",NA,NA,48,NA
"265","CURLE_UNSUPPORTED_PROTOCOL","7.1",NA,NA,1,NA
"266","CURLE_UPLOAD_FAILED","7.16.3",NA,NA,25,NA
"267","CURLE_URL_MALFORMAT","7.1",NA,NA,3,NA
"268","CURLE_URL_MALFORMAT_USER","7.1","7.17.0",NA,4,NA
"269","CURLE_USE_SSL_FAILED","7.17.0",NA,NA,64,NA
"270","CURLE_WEIRD_SERVER_REPLY","7.51.0",NA,NA,8,NA
"271","CURLE_WRITE_ERROR","7.1",NA,NA,23,NA
"272","CURLFILETYPE_DEVICE_BLOCK","7.21.0",NA,NA,3,NA
"273","CURLFILETYPE_DEVICE_CHAR","7.21.0",NA,NA,4,NA
"274","CURLFILETYPE_DIRECTORY","7.21.0",NA,NA,1,NA
"275","CURLFILETYPE_DOOR","7.21.0",NA,NA,7,NA
"276","CURLFILETYPE_FILE","7.21.0",NA,NA,0,NA
"277","CURLFILETYPE_NAMEDPIPE","7.21.0",NA,NA,5,NA
"278","CURLFILETYPE_SOCKET","7.21.0",NA,NA,6,NA
"279","CURLFILETYPE_SYMLINK","7.21.0",NA,NA,2,NA
"280","CURLFILETYPE_UNKNOWN","7.21.0",NA,NA,8,NA
"281","CURLFINFOFLAG_KNOWN_FILENAME","7.21.0",NA,NA,1,NA
"282","CURLFINFOFLAG_KNOWN_FILETYPE","7.21.0",NA,NA,2,NA
"283","CURLFINFOFLAG_KNOWN_GID","7.21.0",NA,NA,32,NA
"284","CURLFINFOFLAG_KNOWN_HLINKCOUNT","7.21.0",NA,NA,128,NA
"285","CURLFINFOFLAG_KNOWN_PERM","7.21.0",NA,NA,8,NA
"286","CURLFINFOFLAG_KNOWN_SIZE","7.21.0",NA,NA,64,NA
"287","CURLFINFOFLAG_KNOWN_TIME","7.21.0",NA,NA,4,NA
"288","CURLFINFOFLAG_KNOWN_UID","7.21.0",NA,NA,16,NA
"289","CURLFORM_ARRAY","7.9.1",NA,NA,8,NA
"290","CURLFORM_ARRAY_END","7.9.1","7.9.5","7.9.6",NA,NA
"291","CURLFORM_ARRAY_START","7.9.1","7.9.5","7.9.6",NA,NA
"292","CURLFORM_BUFFER","7.9.8",NA,NA,11,NA
"293","CURLFORM_BUFFERLENGTH","7.9.8",NA,NA,13,NA
"294","CURLFORM_BUFFERPTR","7.9.8",NA,NA,12,NA
"295","CURLFORM_CONTENTHEADER","7.9.3",NA,NA,15,NA
"296","CURLFORM_CONTENTLEN","7.46.0",NA,NA,20,NA
"297","CURLFORM_CONTENTSLENGTH","7.9",NA,NA,6,NA
"298","CURLFORM_CONTENTTYPE","7.9",NA,NA,14,NA
"299","CURLFORM_COPYCONTENTS","7.9",NA,NA,4,NA
"300","CURLFORM_COPYNAME","7.9",NA,NA,1,NA
"301","CURLFORM_END","7.9",NA,NA,17,NA
"302","CURLFORM_FILE","7.9",NA,NA,10,NA
"303","CURLFORM_FILECONTENT","7.9.1",NA,NA,7,NA
"304","CURLFORM_FILENAME","7.9.6",NA,NA,16,NA
"305","CURLFORM_NAMELENGTH","7.9",NA,NA,3,NA
"306","CURLFORM_NOTHING","7.9",NA,NA,0,NA
"307","CURLFORM_PTRCONTENTS","7.9",NA,NA,5,NA
"308","CURLFORM_PTRNAME","7.9",NA,NA,2,NA
"309","CURLFORM_STREAM","7.18.2",NA,NA,19,NA
"310","CURLFTP_CREATE_DIR","7.19.4",NA,NA,1,NA
"311","CURLFTP_CREATE_DIR_NONE","7.19.4",NA,NA,0,NA
"312","CURLFTP_CREATE_DIR_RETRY","7.19.4",NA,NA,2,NA
"313","CURLFTPAUTH_DEFAULT","7.12.2",NA,NA,0,NA
"314","CURLFTPAUTH_SSL","7.12.2",NA,NA,1,NA
"315","CURLFTPAUTH_TLS","7.12.2",NA,NA,2,NA
"316","CURLFTPMETHOD_DEFAULT","7.15.3",NA,NA,0,NA
"317","CURLFTPMETHOD_MULTICWD","7.15.3",NA,NA,1,NA
"318","CURLFTPMETHOD_NOCWD","7.15.3",NA,NA,2,NA
"319","CURLFTPMETHOD_SINGLECWD","7.15.3",NA,NA,3,NA
"320","CURLFTPSSL_ALL","7.11.0","7.17.0",NA,3,NA
"321","CURLFTPSSL_CCC_ACTIVE","7.16.2",NA,NA,2,NA
"322","CURLFTPSSL_CCC_NONE","7.16.2",NA,NA,0,NA
"323","CURLFTPSSL_CCC_PASSIVE","7.16.1",NA,NA,1,NA
"324","CURLFTPSSL_CONTROL","7.11.0","7.17.0",NA,2,NA
"325","CURLFTPSSL_NONE","7.11.0","7.17.0",NA,0,NA
"326","CURLFTPSSL_TRY","7.11.0","7.17.0",NA,1,NA
"327","CURLGSSAPI_DELEGATION_FLAG","7.22.0",NA,NA,2,NA
"328","CURLGSSAPI_DELEGATION_NONE","7.22.0",NA,NA,0,NA
"329","CURLGSSAPI_DELEGATION_POLICY_FLAG","7.22.0",NA,NA,1,NA
"330","CURLHEADER_SEPARATE","7.37.0",NA,NA,1,NA
"331","CURLHEADER_UNIFIED","7.37.0",NA,NA,0,NA
"332","CURLINFO_ACTIVESOCKET","7.45.0",NA,NA,5242924,NA
"333","CURLINFO_APPCONNECT_TIME","7.19.0",NA,NA,3145761,NA
"334","CURLINFO_CERTINFO","7.19.1",NA,NA,4194338,NA
"335","CURLINFO_CONDITION_UNMET","7.19.4",NA,NA,2097187,NA
"336","CURLINFO_CONNECT_TIME","7.4.1",NA,NA,3145733,NA
"337","CURLINFO_CONTENT_LENGTH_DOWNLOAD","7.6.1",NA,NA,3145743,NA
"338","CURLINFO_CONTENT_LENGTH_UPLOAD","7.6.1",NA,NA,3145744,NA
"339","CURLINFO_CONTENT_TYPE","7.9.4",NA,NA,1048594,NA
"340","CURLINFO_COOKIELIST","7.14.1",NA,NA,4194332,NA
"341","CURLINFO_DATA_IN","7.9.6",NA,NA,3,NA
"342","CURLINFO_DATA_OUT","7.9.6",NA,NA,4,NA
"343","CURLINFO_DOUBLE","7.4.1",NA,NA,3145728,NA
"344","CURLINFO_EFFECTIVE_URL","7.4",NA,NA,1048577,NA
"345","CURLINFO_END","7.9.6",NA,NA,7,NA
"346","CURLINFO_FILETIME","7.5",NA,NA,2097166,NA
"347","CURLINFO_FTP_ENTRY_PATH","7.15.4",NA,NA,1048606,NA
"348","CURLINFO_HEADER_IN","7.9.6",NA,NA,1,NA
"349","CURLINFO_HEADER_OUT","7.9.6",NA,NA,2,NA
"350","CURLINFO_HEADER_SIZE","7.4.1",NA,NA,2097163,NA
"351","CURLINFO_HTTP_CODE","7.4.1","7.10.8",NA,2097154,NA
"352","CURLINFO_HTTP_CONNECTCODE","7.10.7",NA,NA,2097174,NA
"353","CURLINFO_HTTP_VERSION","7.50.0",NA,NA,2097198,NA
"354","CURLINFO_HTTPAUTH_AVAIL","7.10.8",NA,NA,2097175,NA
"355","CURLINFO_LASTONE","7.4.1",NA,NA,46,NA
"356","CURLINFO_LASTSOCKET","7.15.2",NA,NA,2097181,NA
"357","CURLINFO_LOCAL_IP","7.21.0",NA,NA,1048617,NA
"358","CURLINFO_LOCAL_PORT","7.21.0",NA,NA,2097194,NA
"359","CURLINFO_LONG","7.4.1",NA,NA,2097152,NA
"360","CURLINFO_MASK","7.4.1",NA,NA,1048575,NA
"361","CURLINFO_NAMELOOKUP_TIME","7.4.1",NA,NA,3145732,NA
"362","CURLINFO_NONE","7.4.1",NA,NA,0,NA
"363","CURLINFO_NUM_CONNECTS","7.12.3",NA,NA,2097178,NA
"364","CURLINFO_OS_ERRNO","7.12.2",NA,NA,2097177,NA
"365","CURLINFO_PRETRANSFER_TIME","7.4.1",NA,NA,3145734,NA
"366","CURLINFO_PRIMARY_IP","7.19.0",NA,NA,1048608,NA
"367","CURLINFO_PRIMARY_PORT","7.21.0",NA,NA,2097192,NA
"368","CURLINFO_PRIVATE","7.10.3",NA,NA,1048597,NA
"369","CURLINFO_PROXYAUTH_AVAIL","7.10.8",NA,NA,2097176,NA
"370","CURLINFO_REDIRECT_COUNT","7.9.7",NA,NA,2097172,NA
"371","CURLINFO_REDIRECT_TIME","7.9.7",NA,NA,3145747,NA
"372","CURLINFO_REDIRECT_URL","7.18.2",NA,NA,1048607,NA
"373","CURLINFO_REQUEST_SIZE","7.4.1",NA,NA,2097164,NA
"374","CURLINFO_RESPONSE_CODE","7.10.8",NA,NA,2097154,NA
"375","CURLINFO_RTSP_CLIENT_CSEQ","7.20.0",NA,NA,2097189,NA
"376","CURLINFO_RTSP_CSEQ_RECV","7.20.0",NA,NA,2097191,NA
"377","CURLINFO_RTSP_SERVER_CSEQ","7.20.0",NA,NA,2097190,NA
"378","CURLINFO_RTSP_SESSION_ID","7.20.0",NA,NA,1048612,NA
"379","CURLINFO_SIZE_DOWNLOAD","7.4.1",NA,NA,3145736,NA
"380","CURLINFO_SIZE_UPLOAD","7.4.1",NA,NA,3145735,NA
"381","CURLINFO_SLIST","7.12.3",NA,NA,4194304,NA
"382","CURLINFO_SOCKET","7.45.0",NA,NA,5242880,NA
"383","CURLINFO_SPEED_DOWNLOAD","7.4.1",NA,NA,3145737,NA
"384","CURLINFO_SPEED_UPLOAD","7.4.1",NA,NA,3145738,NA
"385","CURLINFO_SSL_DATA_IN","7.12.1",NA,NA,5,NA
"386","CURLINFO_SSL_DATA_OUT","7.12.1",NA,NA,6,NA
"387","CURLINFO_SSL_ENGINES","7.12.3",NA,NA,4194331,NA
"388","CURLINFO_SSL_VERIFYRESULT","7.5",NA,NA,2097165,NA
"389","CURLINFO_STARTTRANSFER_TIME","7.9.2",NA,NA,3145745,NA
"390","CURLINFO_STRING","7.4.1",NA,NA,1048576,NA
"391","CURLINFO_TEXT","7.9.6",NA,NA,0,NA
"392","CURLINFO_TLS_SESSION","7.34.0","7.48.0",NA,4194347,NA
"393","CURLINFO_TLS_SSL_PTR","7.48.0",NA,NA,4194349,NA
"394","CURLINFO_TOTAL_TIME","7.4.1",NA,NA,3145731,NA
"395","CURLINFO_TYPEMASK","7.4.1",NA,NA,15728640,NA
"396","CURLIOCMD_NOP","7.12.3",NA,NA,0,NA
"397","CURLIOCMD_RESTARTREAD","7.12.3",NA,NA,1,NA
"398","CURLIOE_FAILRESTART","7.12.3",NA,NA,2,NA
"399","CURLIOE_OK","7.12.3",NA,NA,0,NA
"400","CURLIOE_UNKNOWNCMD","7.12.3",NA,NA,1,NA
"401","CURLKHMATCH_MISMATCH","7.19.6",NA,NA,1,NA
"402","CURLKHMATCH_MISSING","7.19.6",NA,NA,2,NA
"403","CURLKHMATCH_OK","7.19.6",NA,NA,0,NA
"404","CURLKHSTAT_DEFER","7.19.6",NA,NA,3,NA
"405","CURLKHSTAT_FINE","7.19.6",NA,NA,1,NA
"406","CURLKHSTAT_FINE_ADD_TO_FILE","7.19.6",NA,NA,0,NA
"407","CURLKHSTAT_REJECT","7.19.6",NA,NA,2,NA
"408","CURLKHTYPE_DSS","7.19.6",NA,NA,3,NA
"409","CURLKHTYPE_RSA","7.19.6",NA,NA,2,NA
"410","CURLKHTYPE_RSA1","7.19.6",NA,NA,1,NA
"411","CURLKHTYPE_UNKNOWN","7.19.6",NA,NA,0,NA
"412","CURLM_ADDED_ALREADY","7.32.1",NA,NA,7,NA
